state,time,x1,x2,amoc_strength
on,1.0,0.8386047979113016,0.09954671733508036,14.980992068465678
on,2.0,0.8400055040962542,0.09866522340306716,14.712389709241112
on,3.0,0.8413587027683676,0.09643993440052867,14.443354753349947
on,4.0,0.8427669796914188,0.09592022455382931,14.706469265495528
on,5.0,0.8459258693616789,0.09259938170715287,15.040111030838512
on,6.0,0.8492654767396743,0.0898213918858417,15.782592024693535
on,7.0,0.855352834792285,0.0870918910311218,15.335012631577394
on,8.0,0.8592344145986957,0.0823569238932862,14.669578648283549
on,9.0,0.8622978182510863,0.07775011985476254,13.650760044379336
on,10.0,0.8645220887444935,0.073924752708173,14.459042890609688
on,11.0,0.8648241260937226,0.07257579176340556,14.157862898822973
on,12.0,0.8636485288662854,0.07573783628962616,14.32641199053907
on,13.0,0.8614615273343347,0.08063267675959196,14.741253582822884
on,14.0,0.8601961392500286,0.08328202530668705,14.713473169564484
on,15.0,0.859180942763885,0.08489907447525269,15.863190208183305
on,16.0,0.8597642623409811,0.08170442993852589,14.909594051035736
on,17.0,0.8591567515372773,0.07935289048847949,14.780102425828122
on,18.0,0.8545562572409509,0.08324483145597128,15.438859186243526
on,19.0,0.8555322815811977,0.08299036083155187,15.259791433207086
on,20.0,0.8543145042659859,0.08228819832957157,14.581302127620964
on,21.0,0.8516837579540635,0.08398503625844,15.334823514241476
on,22.0,0.8497532087388606,0.08433065839566467,15.243267047103028
on,23.0,0.8514435065917922,0.08169906498801538,15.092835975703096
on,24.0,0.8469392762733108,0.08228602043367772,15.236280410588169
on,25.0,0.8477566512016139,0.0778689631315217,14.842544780618766
on,26.0,0.8502319018123998,0.07452843676287557,14.780598414137565
on,27.0,0.8528383111464635,0.0686476140240444,14.43176507416536
on,28.0,0.8532114744417569,0.06874872486280026,14.404382082395143
on,29.0,0.8514203090474268,0.07169380816970516,14.7843403929032
on,30.0,0.8559326006380203,0.06729382166473385,14.40779550007457
on,31.0,0.855300675406184,0.06715195555106845,14.632155103186193
on,32.0,0.8577382967534888,0.06804718604435323,15.023102894650417
on,33.0,0.8577793330528962,0.06876016266106433,15.388436643321949
on,34.0,0.8587567919248542,0.07042954392683498,14.984923165211018
on,35.0,0.8586292396491828,0.07229010219583643,15.483499332320076
on,36.0,0.8566971285435088,0.07576865775284602,15.565043694976975
on,37.0,0.8555895443055448,0.07902027125702205,16.3226285372587
on,38.0,0.8543875208050054,0.08183798553506705,15.363618848191717
on,39.0,0.8522285452609779,0.08441035280424813,15.476031873342531
on,40.0,0.8480542876447856,0.08835633268056853,15.155308011098459
on,41.0,0.8466339447424502,0.0920004637346068,15.395272438225247
on,42.0,0.8406687187389181,0.09951946971234094,15.062081617569374
on,43.0,0.839016599325106,0.10286224349228235,15.068851198151515
on,44.0,0.8348569122382301,0.10746773756504524,14.687427331112373
on,45.0,0.8295583207273367,0.11246422173258708,15.074713723507951
on,46.0,0.8250539437273474,0.11771182253226442,15.182760721832182
on,47.0,0.8238195339374599,0.1181725601761272,14.372635383533119
on,48.0,0.8196941210220956,0.12038568749393619,15.26995360716328
on,49.0,0.8189325666172778,0.1222695767753521,15.502581597458235
on,50.0,0.8180565175225709,0.12413745651991093,15.245593760990836
on,51.0,0.8172447335803099,0.12673909097480873,15.239369480047158
on,52.0,0.814800590351723,0.12858004484431973,15.864778779353532
on,53.0,0.815195678670321,0.12652004160692343,15.112808857669425
on,54.0,0.8129234315165377,0.12679899193565802,14.819357423401186
on,55.0,0.8097943941671133,0.12791397789326453,15.684149564361938
on,56.0,0.8064449378603911,0.1295626828027494,15.869811734866946
on,57.0,0.8073250752187704,0.1279236609595813,15.648188708172622
on,58.0,0.8074765186662063,0.12807441720173074,15.162264075114969
on,59.0,0.805754778809181,0.1273770097664766,15.165215921723005
on,60.0,0.8060746077575374,0.12589809408299146,16.01751218327575
on,61.0,0.8050808073479772,0.12629947526560414,15.795050944652807
on,62.0,0.8068761527695401,0.1208292097346586,15.484301028395365
on,63.0,0.80997503764317,0.11152627846129803,14.994362522637786
